server_id	tool	description	input_fields	siblings	label	check	hint_conflict
controlguy-ys/br-automation-pvi-mcp-server	get_config	Show the unified B&R MCP server configuration — build, PVI, and companion paths.			A0	-	n
gergototh1/magyar-jogszabaly-mcp/tools	validate_citation	Validate an Hungarian legal citation against the database — zero-hallucination check.		about, list_sources, search_legislation, get_provision, build_legal_stance, format_citation, check_currency, get_eu_basis, get_hungarian_implementations, search_eu_implementations, get_provision_eu_ba	A0	-	n
secure-ssid/centralmcp	get_glp_scope_group	Fetch one RBAC scope group by ID.	scope_group_id	aos8_status, aos8_login, aos8_logout, aos8_get, aos8_show_command, aos8_list_aps, aos8_list_active_aps, aos8_list_controllers, aos8_list_clients, aos8_find_client, aos8_get_client_detail, aos8_get_cli	A0	-	n
JuanCMPDev/mediabox-mcp/mcp-server	FlareSolverr	Cloudflare bypass		Jellyfin, Sonarr, Radarr, Prowlarr, qBittorrent, PyLoad, Bazarr, download_add, download_status, download_direct, cancel_downloads, server_status, activity_log, search_media, show_details	A0	-	n
zerocracy/zerocracy-mcp-server	give_management_advice		concern,product		A0	-	n
samueljayasingh/WhatsAppMCP	get_contact_chats	Get all WhatsApp chats involving the contact.	jid,limit,page	search_contacts, list_messages, list_chats, get_chat, get_direct_chat_by_contact, get_last_interaction, get_message_context, send_message, send_file, send_audio_message, download_media	A2	After send_message, call list_messages and expect the sent message to appear.	n
fritzprix/TheArena	start	Starts a new chess game		movePiece, pollUserMove, finish	A0	-	n
seanivore/the-pensieve/server	use_pensieve	Examine your stored memories and knowledge, allowing patterns and connections to emerge			A0	-	n
prathmeshnik/Obsidian-Notes-MCP-Server	list_notes	Lists all markdown files in the vault.		list_folders, read_note	A0	-	n
ntk148v/mcp-server-template	get_alerts	Get weather alerts for a US state.	state	get_forecast	A0	-	n
gitmem-dev/gitmem/tools	analyze	Session analytics and insights engine. Returns formatted markdown by default. Use format=json for raw data.		recall, confirm_scars, reflect_scars, session_start, session_refresh, create_learning, create_decision, record_scar_usage, record_scar_usage_batch, save_transcript, get_transcript, search_transcripts,	A0	-	n
dohyung1/x402-fpl-api	price_predictions	Predict which FPL players are likely to rise or fall in price tonight.		captain_pick, differential_finder, fixture_outlook, transfer_suggestions, player_comparison, live_points, fpl_manager_hub, is_hit_worth_it, chip_strategy, rival_tracker, league_analyzer, squad_scout	A0	-	n
ebowman/rescuetime-mcp/rescuetime_mcp	post_offline_time	Post offline time to RescueTime.	offline_date,offline_hours,description	get_analytic_data, get_daily_summary_feed, get_alerts_feed, get_highlights_feed, post_highlight, start_focus_session, end_focus_session, get_focus_session_status, health_check, get_latest_daily_summar	A2	After post_offline_time, call the server's productivity/activity summary tool and expect the offline period to be reflected.	n
Sequenzy/mcp/tools	get_sequence_inbound_webhook	Read the usable URL, mapping, sample payload, and setup status for a sequence inbound webhook.		list_ab_tests, get_ab_test, get_ab_test_stats, restart_ab_test, update_ab_test, add_ab_test_variant, delete_ab_test, get_account, select_company, get_app_urls, create_company, get_company, get_shopify	A0	-	n
kdkiss/mcp-stepstone	get_job_details	Get detailed information about a specific job from stored search results. Provide job_index (1-based) to select by position or job_query to fuzzy match when no index is supplied.	session_id,job_query,job_index	search_jobs	A0	-	n
synapticore-io/dust-analyzer/dust_analyzer	show_air_quality_map	Raumliche Verteilung von Saharastaub, SO2 und PM2.5 auf einer Europakarte.	lat,lon,days	analyze_air_quality, get_map_variable, compare_cities, query_measurements	A0	-	n
MetaBrain-Labs/ComfyUI-MCP-Server-TypeScript/tools	upload_assets	tool.upload_assets.description		get_core_manual, interrupt_prompt, list_models, mount_workflow, get_prompt_result, queue_custom_prompt, queue_prompt, save_custom_workflow, save_task_assets, get_system_status, cui_get_task_detail, ge	A0	-	n
ABINETHACKER/MUSTer_MCP	get_current_time	Get current local datetime as YYYY-MM-DD HH:MM:SS.		get_all_courses, get_course_content, get_pending_events, download_resource, open_URL_with_authorization, get_class_schedule	A0	-	n
ebowman/rescuetime-mcp/rescuetime_mcp	get_productivity_score	Get today's current productivity metrics from real-time activity data.		get_analytic_data, get_daily_summary_feed, get_alerts_feed, get_highlights_feed, post_highlight, start_focus_session, end_focus_session, get_focus_session_status, post_offline_time, health_check, get_	A2	After posting offline time or a focus session, call get_productivity_score and expect the resulting productivity data/score to reflect the change.	n
Fast-Transients/lodgify-mcp-server	get_properties	Get a list of properties with optional filtering.	limit,offset,status	get_property_by_id, get_bookings, create_booking, get_calendar, get_booking_by_id, update_booking_status, get_occupancy_summary	A0	-	n
kingabzpro/FastMCP-Project	search_arxiv	Queries ArXiv via Tavily, returning title + link for each paper.	query,max_results	summarize_paper	A0	-	n
