server_id	tool	description	input_fields	siblings	label	check	hint_conflict
jgravelle/jcodemunch-mcp	resolve_related_code_repos	Map a jdocmunch docs repo to candidate jCodeMunch code repo handles by source_root. The two suites use independent repo-identity models, so a docs handle (e.g. 'local/foo-docs') is	repo	index_local: Index a local folder containing documentation files (.md, .txt, .rst; plus .pdf/.docx/.pptx/.epub wh | index_repo: Index data files from a GitHub repository. Discovers CSV, Excel, Parquet, and JSONL files, downloads | list_datasets: List every indexed dataset with its row count, column count, and source file. Call it first to find  | list_repos: List GitHub repositories indexed via index_repo. Shows repo name, HEAD SHA, dataset count, total row | describe_dataset: Primary orientation tool. Returns every column's name, type, cardinality, null%, and sample values.  | describe_column			
MaxEllis/orcaslicer-mcp/orcaslicer_mcp	set_height_range	Override the layer height over a Z band of one object (e.g. 0 to 5 mm printed at 0.1 mm	object_id,min_z,max_z,layer_height,clear	get_status: Snapshot of the current OrcaSlicer session: app and project info, the active | get_config: Read merged config values (optionally filtered to `keys`). | set_config: Apply config changes to the active project as unsaved overrides, atomically: if any | slice: Start slicing the current plate in the background and return immediately, without waiting | get_slice_status: State of the current or most recent slice: state (slicing, done, error, or idle), stats | get_slice_warnings: Just the warnings/errors from the last (or current) slice, plus validity - the | get_slice_breakdown: Per-featu			
TencentCloudBase/CloudBase-AI-Toolkit	queryCloudRun	查询云托管服务信息，支持获取服务列表、查询服务详情、获取可用模板列表、获取构建日志（getDeployLog，仅云端源码构建/依赖 CODING）、获取运行日志（getProcessLog，镜像与源码部署均可/不依赖 CODING）、获取部署记录以及查询环境云托管开通状态（envStatus）。返回的服务信息包括服务名称、状态、访问类型、配置详情以及最近部署		manageCloudRun: 管理云托管服务，按开发顺序支持：开通云托管环境（initEnv）、初始化项目（可从模板开始，模板列表可通过 queryCloudRun 查询）、下载服务代码、本地运行（仅函数型服务）、部署代码、仅更新			
tether-md/tether-md/cli	tether_status	One-glance summary of a Tether file: comment counts by status and author, pending proposals, anchor health (JSON).	file	tether_list: List every comment in a Tether markdown file, joined with its resolved anchor and any pending propos | tether_diff: Preview one comment's proposal against the currently-anchored text (JSON: id, quote, current, propos | tether_suggest: Attach a proposed rewrite to a comment's anchored span (suggestion mode; writes the file). The prose | tether_comment: Flag something back to the human as a new anchored comment (writes the file). Author is always 'agen | tether_export: Print the clean document (comment layer stripped; byte-identical to the authored prose). Use this to			
mobile-next/mobile-mcp	mobile_take_screenshot	Take a screenshot of the mobile device. Use this to understand what's on screen, if you need to press an element that is available through view hierarchy then you must list element	device				
shaguocgl/mcp-xxl-job	list_job_groups	分页查询 XXL-JOB 的执行器组（执行器）列表，返回 id、AppName、名称、注册方式、在线机器地址等信息。新增任务前通常需要先查执行器组 id。	page,pageSize,appname,title	list_jobs: 分页查询 XXL-JOB 任务列表，支持按执行器组、调度状态（0=停止/1=运行中）、任务描述、JobHandler、负责人过滤。 | get_job: 根据任务 id 查询 XXL-JOB 任务的完整配置详情。 | add_job: 在 XXL-JOB 中新增一个任务。必填：执行器组 id、任务描述、调度类型与配置、JobHandler。 未提供的可选项使用默认值：路由策略 FIRST、阻塞策略 SERIAL_EXECUTION、 | update_job: 修改 XXL-JOB 任务配置。采用先读取现有全量配置、合并本次变更、再整体提交的方式，未传入的字段保持原值不变。 调度状态（启动/停止）请用 start_job / stop_job，不在此工具处理 | start_job: 启动指定任务的调度（使其按调度配置自动执行）。 | stop_job: 停止指定任务的调度（不再自动执行，历史配置保留）。 | remove_job: 永久删除指定任务（不可恢复，任务配置与历史日志将一并清除）。 | trigger_job: 手动触发指定任务立即执行一次（不影响原有调度状态）。可覆盖运行参数，也可指定执行器地址列表（为空则按任务配置的路由策略选择）。 | preview_next_trigger_times: 根据调度类型与配置（如 Cron 表达式）预演未来若			
wichlene/flamebase	flamebase_action	FlameBase\		Comment: Comment on a post on-chain. | Tip: Tip a post author in ETH on-chain. | Follow: Follow a user on-chain by address. | FlameBase: Web3 social media platform on Base — post, like, comment, tip onchain | get_wallets: Get the connected wallet address on Base mainnet. | prepare_action: Prepare a FlameBase onchain action (createPost, like, tip, comment, checkIn, deployToken, propose, v | send_calls: Submit a prepared transaction for user approval. Returns a request ID. | get_request_status: Check the status of a submitted transaction request.			
capad-xyz/searchts	fetch_asset_tool		url,out_dir	get_status_tool: (no usable description) | read_url_tool: (no usable description) | web_search_tool: (no usable description) | grab_site_tool: (no usable description)			
affaan-m/ECC	memory_read	Read one ECC memory and its derived backlinks by stable memory ID.					
raymondchins/agentmap	search	Rank symbols by BM25 lexical relevance for a VAGUE natural-language query (e.g.		any: Unified router: resolve a query against the repo map (file → symbol → feature) then fall back to a l | find: Find every symbol whose name matches (substring, case-insensitive) — exported symbols plus non-expor | relates: Blast radius for a file: its exports, imports, direct dependents, and the files most related to it b | callers: Compiler-accurate call graph: every call site that INVOKES a symbol, resolved by the TypeScript lang | calls: Compiler-accurate OUTGOING call graph: every in-project symbol that a given symbol INVOKES, resolved | map: Token-budgeted ranked digest of the codebase			
